year,song,artist,spotifyid,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo 
1960,The Theme from "A Summer Place" - Single Version,Percy Faith & His Orchestra,2kKL5kk4On8YRSKWDgXWMX,0.466,0.389,0.0253,0.631,0.843,0.295,0.749,92.631
1960,He'll Have to Go,Jim Reeves,7DH5dXVuQaqcKf9oTy9oUN,0.554,0.186,0.0379,0.909,0.00144,0.11,0.2,81.181
1960,Running Bear,Johnny Preston,60DbxCJXFG9ZryHHvUPTXG,0.758,0.462,0.0482,0.79,1.25e-05,0.17,0.726,120.004
1960,Teen Angel,Mark Dinning,7GvhZ0F7cMBwpv7QzeGABf,0.583,0.168,0.035,0.869,0,0.148,0.349,97.572
1960,I'm Sorry - Single Version,Brenda Lee,5VyBNCSb8VXoSxD281PRod,0.567,0.141,0.0315,0.925,0.00465,0.117,0.319,103.078
1960,It's Now Or Never - 2003 Sony Remaster,Elvis Presley,2u8Lrq2TxwtEmCdr1idFOO,0.635,0.391,0.0367,0.511,0.00247,0.493,0.706,126.267
1960,Handy Man,Jimmy Jones,0X6Nnkf4BL7rr1DRxFhcDz,0.534,0.72,0.0395,0.649,0,0.258,0.901,74.207
1960,Stuck on You,Elvis Presley,6RLOZGYi7gTZsxtn1wX2T2,0.664,0.539,0.0408,0.811,0.000691,0.156,0.94,132.212
1960,The Twist - Rerecorded,Chubby Checker,0M5EaPIXN3FneJ7exwpYNM,0.524,0.713,0.0314,0.0188,0.0058,0.0402,0.974,155.033
1960,Everybody's Somebody's Fool,Connie Francis,6jdONXtmF2ZmLyRgZfwDRj,0.587,0.72,0.0303,0.792,1.54e-05,0.255,0.81,84.272
1960,Wild One,Bobby Rydell,1aOWQh759ZSHiAdt8jEqLV,0.629,0.679,0.0318,0.395,3.09e-05,0.0947,0.864,151.657
1960,Greenfields,The Brothers Four,7F3R0rKXq5eYgPug8vqOdu,0.485,0.182,0.0434,0.852,0,0.112,0.357,110.608
1960,What In The World's Come Over You,Jack Scott,0ZIdgRonT70YtgXBPFt1bm,0.503,0.194,0.0287,0.83,4.08e-06,0.0938,0.52,76.421
1960,El Paso,Marty Robbins,4f8hBeMXMvssn6HtFAtblo,0.654,0.452,0.03,0.835,2.89e-05,0.16,0.691,106.662
1960,Alley Oop,Hollywood Argyles,2XNoOrbIlv70V1siXeBokl,0.647,0.454,0.0545,0.849,0,0.212,0.88,64.56
1960,My Heart Has A Mind Of Its Own,Connie Francis,4xOq9yg6BOobb5zJHVoEoj,0.49,0.528,0.0373,0.776,0,0.32,0.717,109.439
1960,Sweet Nothin's - Single Version,Brenda Lee,4vsXBH9u5EH3lRycXHOcII,0.805,0.363,0.0578,0.752,0.000371,0.109,0.963,126.382
1960,Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,Brian Hyland,3Aug2RunJbjGiz2CTtWu5l,0.795,0.4,0.0749,0.682,0,0.0326,0.968,122.174
1960,Only The Lonely (Know The Way I Feel),Roy Orbison,1kX3claRkf5EcRJFh7Y2UW,0.584,0.519,0.0283,0.41,0.00475,0.21,0.933,123.25
1960,Where Or When,Dion & The Belmonts,0OLIIwpl8vDQWXYZa7becp,0.444,0.267,0.0282,0.796,0,0.127,0.455,110.661
1960,Sixteen Reasons,Connie Stevens,0oI0ekrSQ3aHiHcMi1B2gK,0.339,0.406,0.0319,0.865,1.1e-05,0.11,0.619,109.783
1960,Puppy Love,Paul Anka,1wkIJldiqV38nKjuHlZN5A,0.346,0.348,0.0308,0.297,0.000575,0.334,0.632,101.527
1960,Why,Frankie Avalon,3hvakqVpwaz4L7zN5HfTCY,0.443,0.415,0.0268,0.795,0,0.113,0.61,94.835
1960,Walk Don't Run,The Ventures,6kf0Dn3FQ7Ys6HCnyfCsYj,0.491,0.828,0.0314,0.822,0.682,0.17,0.93,155.213
1960,Save the Last Dance for Me (Remastered),The Drifters,5Uw8YJFP5GhyD2zXfZfB5N,0.576,0.545,0.0385,0.556,0,0.344,0.881,144.217
1960,Baby You've Got What It Takes,Dinah Washington,5tFi8q4W0WJfoMfO6ImLhC,0.672,0.358,0.0455,0.766,0.000142,0.242,0.834,132.249
1960,Sink The Bismarck,Johnny Horton,4F7T8NnGKbhLMVtAMycDQg,0.68,0.57,0.0958,0.652,1.18e-05,0.0565,0.966,115.894
1960,Chain Gang,Sam Cooke,1sK10Me7qS9em2QTx6dYRe,0.698,0.661,0.0416,0.636,0,0.228,0.824,131.808
1960,Cherish,The Association,5fmtvzDvwlfvNjdNrOj8TA,0.494,0.407,0.0345,0.726,0,0.116,0.555,110.13
1960,Let It Be Me,The Everly Brothers,1kwLmeXUH7SLuEus82e2lj,0.387,0.13,0.0275,0.767,0,0.404,0.309,88.461
1960,Good Timin',Jimmy Jones,33igcthkkskYSoeL6YmVs6,0.604,0.519,0.196,0.701,0.0492,0.0861,0.944,144.999
1960,Beyond the Sea,Bobby Darin,2EIaO5knwUA3F2qnf9LV3S,0.521,0.516,0.0369,0.723,0,0.257,0.569,136.483
1960,Go Jimmy Go,Jimmy Clanton,1lNeiSfvFV8T9liehovsoL,0.519,0.625,0.0369,0.451,0,0.111,0.793,137.919
1960,Night,Jackie Wilson,52gdxdolPNwBJZLAZDG1Md,0.284,0.402,0.0306,0.813,0.0121,0.346,0.422,100.875
1960,Burning Bridges,Jack Scott,51jyAgrsTNvOyZPW949qZR,0.465,0.276,0.0242,0.809,0.000272,0.214,0.233,82.613
1960,The Big Hurt,Toni Fisher,00xrc3JfsWSNuE4v5XU1yD,0.544,0.509,0.0387,0.761,0,0.485,0.635,125.971
1960,Because They're Young (Rerecorded),Duane Eddy,3SPW9cEJJl2a5MsMQtV0VB,0.581,0.644,0.0397,0.526,0.955,0.606,0.952,121.62
1960,Lonely Blue Boy,Conway Twitty,42rtq2Vxa8rADKhaa4cKS3,0.537,0.641,0.0388,0.841,0.000494,0.272,0.684,112.74
1960,Pretty Blue Eyes,Steve Lawrence,15fyk6OPCMiIHG7EPIVVne,0.477,0.575,0.0318,0.46,0,0.4,0.865,126.408
1960,Way Down Yonder In New Orleans,Freddy Cannon,4XuDYDtQwn4cEcSeB7xQuL,0.658,0.699,0.058,0.491,1.41e-05,0.146,0.911,143.622
1960,Paper Roses,Anita Bryant,2L3EQNvy6BbXaUrVsoxWzz,0.334,0.22,0.0318,0.883,0,0.162,0.309,114.629
1960,Mr. Custer - Re-Recording,Larry Verne,5s3lvjoko5otcZrprzcWeD,0.833,0.277,0.0997,0.453,5.16e-05,0.078,0.0602,107.694
1960,I Want To Be Wanted (Per Tutta La Vita) - Remake Version,Brenda Lee,3R7hiVF84AZq8BcYM470Sp,0.491,0.222,0.0314,0.786,3.44e-06,0.184,0.471,108.651
1960,Mule Skinner Blues,The Fendermen,2YsNLEBGS9LP0mtcDY3GnR,0.468,0.426,0.0347,0.888,6.35e-05,0.208,0.633,127.609
1960,Cradle of Love,Johnny Preston,4sthCEbCCGaYbEA8V823XB,0.478,0.562,0.0791,0.742,0,0.118,0.898,173.737
1960,Crimson and Clover,Tommy James & The Shondells,6FEKEO3y7QFcMwoGeR0GtU,0.456,0.609,0.068,0.275,0.0198,0.108,0.682,84.441
1960,You Got What It Takes - Re-Recording,Marv Johnson,2JiJZJd6LvqYXPqFY2p89o,0.782,0.67,0.0501,0.134,0,0.0843,0.961,135.075
1960,Please Help Me I'm Falling,Hank Locklin,4o9fGL5BfhAjBDxvziWRt2,0.58,0.384,0.0312,0.889,3.71e-05,0.121,0.594,105.76
1960,Love You So - Re-Recording,Ron Holden,3y5S5McahiMrgmvAgJqDbJ,0.709,0.557,0.0434,0.221,0.425,0.13,0.863,139.781
